name,population
Canada,35151730
Newfoundland and Labrador,519716
Prince Edward Island,142907
Nova Scotia,923598
New Brunswick,747101
Quebec,8164361
Québec,8164361
Ontario,13448494
Manitoba,1278365
Saskatchewan,1098352
Alberta,4067175
British Columbia,4648055
Yukon,35874
Northwest Territories,41786
Nunavut,35944
British Columbia,5071000
