name,population
Andalucía,8446561
Aragón,1324397
Asturias,1019993
Baleares,1198576
C. Valenciana,4998711
Canarias,2220270
Cantabria,581949
Castilla y León,2402877
Castilla-La Mancha,2038440
Cataluña,7609499
Ceuta,84434
Extremadura,1062797
Galicia,2698764
La Rioja,314487
Madrid,6685471
Melilla,84286
Murcia,1494442
Navarra,652526
País Vasco,2181919
