name,population
"Maracanã, PA",29429
"Marapanim, PA",28220
"Marituba, PA",129321
"Medicilândia, PA",31213
"Melgaço, PA",27415
"Mocajuba, PA",30736
"Moju, PA",80988
"Mojuí dos Campos, PA",15982
"Monte Alegre, PA",57900
"Muaná, PA",39783
"Nova Esperança do Piriá, PA",21291
"Nova Ipixuna, PA",16499
"Nova Timboteua, PA",15218
"Novo Progresso, PA",25758
"Novo Repartimento, PA",74602
"Óbidos, PA",51964
"Oeiras do Pará, PA",32168
"Oriximiná, PA",72160
"Ourém, PA",17721
"Ourilândia do Norte, PA",32319
"Pacajá, PA",46986
"Palestina do Pará, PA",7596
"Paragominas, PA",111764
"Parauapebas, PA",202882
"Pau d'Arco, PA",5557
"Peixe-Boi, PA",8073
"Piçarra, PA",12983
"Placas, PA",30293
"Ponta de Pedras, PA",30608
"Portel, PA",61126
"Porto de Moz, PA",40458
"Prainha, PA",29886
"Primavera, PA",10792
"Quatipuru, PA",13512
"Redenção, PA",83997
"Rio Maria, PA",18186
"Rondon do Pará, PA",51903
"Rurópolis, PA",49503
"Salinópolis, PA",40424
"Salvaterra, PA",23424
"Santa Bárbara do Pará, PA",20704
"Santa Cruz do Arari, PA",9939
"Santa Izabel do Pará, PA",69746
"Santa Luzia do Pará, PA",19852
"Santa Maria das Barreiras, PA",21042
"Santa Maria do Pará, PA",24725
"Santana do Araguaia, PA",71187
"Santarém, PA",302667
"Santarém Novo, PA",6664
"Santo Antônio do Tauá, PA",31038
"São Caetano de Odivelas, PA",17970
"São Domingos do Araguaia, PA",25358
"São Domingos do Capim, PA",31837
"São Félix do Xingu, PA",124763
"São Francisco do Pará, PA",15833
"São Geraldo do Araguaia, PA",24991
"São João da Ponta, PA",6059
"São João de Pirabas, PA",22842
"São João do Araguaia, PA",13940
"São Miguel do Guamá, PA",58328
"São Sebastião da Boa Vista, PA",26301
"Sapucaia, PA",5849
"Senador José Porfírio, PA",11839
"Soure, PA",25181
"Tailândia, PA",103664
"Terra Alta, PA",11591
"Terra Santa, PA",18619
"Tomé-Açu, PA",62854
"Tracuateua, PA",30656
"Trairão, PA",18807
"Tucumã, PA",39059
"Tucuruí, PA",112148
"Ulianópolis, PA",57632
"Uruará, PA",45517
"Vigia, PA",53191
"Viseu, PA",61049
"Vitória do Xingu, PA",14987
"Xinguara, PA",44410
"Serra do Navio, AP",5306
"Amapá, AP",9029
"Pedra Branca do Amapari, AP",15931
"Calçoene, AP",10926
"Cutias, AP",5864
"Ferreira Gomes, AP",7591
"Itaubal, AP",5387
"Laranjal do Jari, AP",49446
"Macapá, AP",493634
"Mazagão, AP",21206
"Oiapoque, AP",26627
"Porto Grande, AP",21484
"Pracuúba, AP",4993
"Santana, AP",119610
"Tartarugalzinho, AP",16855
"Vitória do Jari, AP",15605
"Abreulândia, TO",2564
"Aguiarnópolis, TO",6572
"Aliança do Tocantins, TO",5434
"Almas, TO",7131
"Alvorada, TO",8427
"Ananás, TO",9607
"Angico, TO",3417
"Aparecida do Rio Negro, TO",4741
"Aragominas, TO",5786
"Araguacema, TO",7016
"Araguaçu, TO",8567
"Araguaína, TO",177517
"Araguanã, TO",5663
"Araguatins, TO",35346
"Arapoema, TO",6670
"Arraias, TO",10601
"Augustinópolis, TO",18178
"Aurora do Tocantins, TO",3731
"Axixá do Tocantins, TO",9725
"Babaçulândia, TO",10662
"Bandeirantes do Tocantins, TO",3512
"Barra do Ouro, TO",4549
"Barrolândia, TO",5614
"Bernardo Sayão, TO",4469
"Bom Jesus do Tocantins, TO",4779
"Brasilândia do Tocantins, TO",2191
"Brejinho de Nazaré, TO",5475
"Buriti do Tocantins, TO",11197
"Cachoeirinha, TO",2266
"Campos Lindos, TO",9917
"Cariri do Tocantins, TO",4321
"Carmolândia, TO",2556
"Carrasco Bonito, TO",4059
"Caseara, TO",5295
"Centenário, TO",2874
"Chapada de Areia, TO",1401
"Chapada da Natividade, TO",3334
"Colinas do Tocantins, TO",34990
"Combinado, TO",4843
"Conceição do Tocantins, TO",4124
"Couto Magalhães, TO",5536
"Cristalândia, TO",7300
"Crixás do Tocantins, TO",1708
"Darcinópolis, TO",6018
"Dianópolis, TO",21850
"Divinópolis do Tocantins, TO",6856
"Dois Irmãos do Tocantins, TO",7211
"Dueré, TO",4687
"Esperantina, TO",10851
"Fátima, TO",3841
"Figueirópolis, TO",5284
"Filadélfia, TO",8837
"Formoso do Araguaia, TO",18482
"Fortaleza do Tabocão, TO",2576
"Goianorte, TO",5116
"Goiatins, TO",12942
"Guaraí, TO",25677
"Gurupi, TO",85737
"Ipueiras, TO",1977
"Itacajá, TO",7414
"Itaguatins, TO",5896
"Itapiratins, TO",3758
"Itaporã do Tocantins, TO",2435
"Jaú do Tocantins, TO",3819
