name,population
Abruzzo,1311580
Basilicata,562869
P.A. Bolzano,107436
Calabria,1947131
Campania,5801692
Emilia Romagna,4459477
Friuli Venezia Giulia,1215220
Lazio,5879082
Liguria,1550640
Lombardia,10060574
Marche,1525271
Molise,305617
Piemonte,4356406
Puglia,4029053
Sardegna,1639591
Sicilia,4999891
Toscana,3729641
P.A. Trento,1072276
Umbria,882015
Valle d'Aosta,125666
Veneto,4905854
