name,population
"Lewis County, KY",13257
"Lincoln County, KY",24644
"Livingston County, KY",9242
"Logan County, KY",26989
"Lyon County, KY",8009
"McCracken County, KY",65346
"McCreary County, KY",17408
"McLean County, KY",9252
"Madison County, KY",92368
"Magoffin County, KY",12362
"Marion County, KY",19404
"Marshall County, KY",31191
"Martin County, KY",11323
"Mason County, KY",17150
"Meade County, KY",28715
"Menifee County, KY",6451
"Mercer County, KY",21774
"Metcalfe County, KY",10030
"Monroe County, KY",10718
"Montgomery County, KY",28203
"Morgan County, KY",13345
"Muhlenberg County, KY",30774
"Nelson County, KY",45851
"Nicholas County, KY",7166
"Ohio County, KY",24087
"Oldham County, KY",66470
"Owen County, KY",10880
"Owsley County, KY",4472
"Pendleton County, KY",14529
"Perry County, KY",26092
"Pike County, KY",58402
"Powell County, KY",12442
"Pulaski County, KY",64623
"Robertson County, KY",2135
"Rockcastle County, KY",16750
"Rowan County, KY",24583
"Russell County, KY",17821
"Scott County, KY",56031
"Shelby County, KY",48518
"Simpson County, KY",18529
"Spencer County, KY",18794
"Taylor County, KY",25549
"Todd County, KY",12311
"Trigg County, KY",14643
"Trimble County, KY",8515
"Union County, KY",14505
"Warren County, KY",131264
"Washington County, KY",12084
"Wayne County, KY",20468
"Webster County, KY",13111
"Whitley County, KY",36242
"Wolfe County, KY",7177
"Woodford County, KY",26533
"Acadia Parish, LA",62190
"Allen Parish, LA",25605
"Ascension Parish, LA",124672
"Assumption Parish, LA",22300
"Avoyelles Parish, LA",40462
"Beauregard Parish, LA",37253
"Bienville Parish, LA",13308
"Bossier Parish, LA",127185
"Caddo Parish, LA",242922
"Calcasieu Parish, LA",203112
"Caldwell Parish, LA",9960
"Cameron Parish, LA",6968
"Catahoula Parish, LA",9608
"Claiborne Parish, LA",15944
"Concordia Parish, LA",19572
"De Soto Parish, LA",27436
"East Baton Rouge Parish, LA",440956
"East Carroll Parish, LA",7037
"East Feliciana Parish, LA",19305
"Evangeline Parish, LA",33443
"Franklin Parish, LA",20156
"Grant Parish, LA",22482
"Iberia Parish, LA",70941
"Iberville Parish, LA",32721
"Jackson Parish, LA",15902
"Jefferson Parish, LA",434051
"Jefferson Davis Parish, LA",31582
"Lafayette Parish, LA",242782
"Lafourche Parish, LA",98115
"LaSalle Parish, LA",14917
"Lincoln Parish, LA",47196
"Livingston Parish, LA",139567
"Madison Parish, LA",11161
"Morehouse Parish, LA",25398
"Natchitoches Parish, LA",38659
"Orleans County, LA",391006
"Ouachita Parish, LA",154475
"Plaquemines Parish, LA",23410
"Pointe Coupee Parish, LA",21940
"Rapides Parish, LA",130562
"Red River Parish, LA",8477
"Richland Parish, LA",20192
"Sabine Parish, LA",24032
"St. Bernard Parish, LA",46721
"St. Charles Parish, LA",52879
"St. Helena Parish, LA",10262
"St. James Parish, LA",21037
"St. John the Baptist Parish, LA",43184
"St. Landry Parish, LA",82764
"St. Martin Parish, LA",53621
"St. Mary Parish, LA",49774
"St. Tammany Parish, LA",258111
"Tangipahoa Parish, LA",133777
"Tensas Parish, LA",4462
"Terrebonne Parish, LA",111021
"Union Parish, LA",22330
"Vermilion Parish, LA",59830
"Vernon Parish, LA",48860
"Washington Parish, LA",46582
"Webster Parish, LA",38798
"West Baton Rouge Parish, LA",26427
"West Carroll Parish, LA",10982
"West Feliciana Parish, LA",15460
"Winn Parish, LA",14134
"Androscoggin County, ME",107679
"Aroostook County, ME",67111
"Cumberland County, ME",293557
"Franklin County, ME",29897
"Hancock County, ME",54811
"Kennebec County, ME",122083
"Knox County, ME",39771
"Lincoln County, ME",34342
"Oxford County, ME",57618
"Penobscot County, ME",151096
"Piscataquis County, ME",16800
"Sagadahoc County, ME",35634
"Somerset County, ME",50592
"Waldo County, ME",39694
"Washington County, ME",31490
"York County, ME",206229
"Allegany County, MD",70975
"Anne Arundel County, MD",576031
"Baltimore County, MD",828431
"Calvert County, MD",92003
"Caroline County, MD",33304
"Carroll County, MD",168429
"Cecil County, MD",102826
"Charles County, MD",161503
"Dorchester County, MD",31998
"Frederick County, MD",255648
"Garrett County, MD",29163
"Harford County, MD",253956
"Howard County, MD",323196
"Kent County, MD",19383
"Montgomery County, MD",1052567
"Prince George's County, MD",909308
"Queen Anne's County, MD",50251
"St. Mary's County, MD",112664
"Somerset County, MD",25675
"Talbot County, MD",36968
"Washington County, MD",150926
"Wicomico County, MD",103195
"Worcester County, MD",51823
"Baltimore city, MD",602495
"Barnstable County, MA",213413
"Berkshire County, MA",126348
"Bristol County, MA",564022
"Dukes County, MA",17352
"Essex County, MA",790638
"Franklin County, MA",70963
"Hampden County, MA",470406
"Hampshire County, MA",161355
"Middlesex County, MA",1614714
"Nantucket County, MA",11327
"Norfolk County, MA",705388
"Plymouth County, MA",518132
"Suffolk County, MA",807252
"Worcester County, MA",830839
"Alcona County, MI",10362
"Alger County, MI",9097
"Allegan County, MI",117327
"Alpena County, MI",28360
"Antrim County, MI",23365
"Arenac County, MI",15041
"Baraga County, MI",8320
"Barry County, MI",61157
"Bay County, MI",103923
"Benzie County, MI",17753
"Berrien County, MI",154141
"Branch County, MI",43622
"Calhoun County, MI",134487
"Cass County, MI",51653
"Charlevoix County, MI",26244
"Cheboygan County, MI",25413
"Chippewa County, MI",37517
"Clare County, MI",30757
"Clinton County, MI",79332
"Crawford County, MI",13901
"Delta County, MI",35857
"Dickinson County, MI",25383
"Eaton County, MI",109826
"Emmet County, MI",33308
"Genesee County, MI",406892
"Gladwin County, MI",25337
"Gogebic County, MI",15096
"Grand Traverse County, MI",92573
"Gratiot County, MI",40599
"Hillsdale County, MI",45749
"Houghton County, MI",36219
"Huron County, MI",31166
"Ingham County, MI",292735
"Ionia County, MI",64210
"Iosco County, MI",25081
"Iron County, MI",11117
"Isabella County, MI",70562
"Jackson County, MI",158823
"Kalamazoo County, MI",264870
"Kalkaska County, MI",17824
"Kent County, MI",653786
"Keweenaw County, MI",2113
"Lake County, MI",11881
"Lapeer County, MI",88028
"Leelanau County, MI",21764
"Lenawee County, MI",98266
"Livingston County, MI",191224
"Luce County, MI",6283
"Mackinac County, MI",10787
"Macomb County, MI",874759
"Manistee County, MI",24528
"Marquette County, MI",66516
"Mason County, MI",29100
"Mecosta County, MI",43545
"Menominee County, MI",22983
"Midland County, MI",83209
"Missaukee County, MI",15113
"Monroe County, MI",150439
"Montcalm County, MI",63968
"Montmorency County, MI",9265
"Muskegon County, MI",173588
"Newaygo County, MI",48892
"Oakland County, MI",1259201
"Oceana County, MI",26625
"Ogemaw County, MI",20952
"Ontonagon County, MI",5795
"Osceola County, MI",23341
"Oscoda County, MI",8276
"Otsego County, MI",24665
"Ottawa County, MI",290494
"Presque Isle County, MI",12738
"Roscommon County, MI",23884
"Saginaw County, MI",190800
"St. Clair County, MI",159337
"St. Joseph County, MI",61043
"Sanilac County, MI",41182
"Schoolcraft County, MI",8068
"Shiawassee County, MI",68192
"Tuscola County, MI",52516
"Van Buren County, MI",75448
"Washtenaw County, MI",370963
"Wayne County, MI",1753893
"Wexford County, MI",33466
"Aitkin County, MN",15902
"Anoka County, MN",353813
"Becker County, MN",34371
"Beltrami County, MN",46847
"Benton County, MN",40545
"Big Stone County, MN",4989
"Blue Earth County, MN",67427
"Brown County, MN",25111
"Carlton County, MN",35837
"Carver County, MN",103551
"Cass County, MN",29519
"Chippewa County, MN",11924
"Chisago County, MN",55922
"Clay County, MN",63955
"Clearwater County, MN",8810
"Cook County, MN",5393
"Cottonwood County, MN",11277
"Crow Wing County, MN",64889
"Dakota County, MN",425423
"Dodge County, MN",20822
"Douglas County, MN",37964
"Faribault County, MN",13758
"Fillmore County, MN",21058
"Freeborn County, MN",30444
"Goodhue County, MN",46403
"Grant County, MN",6021
"Hennepin County, MN",1259428
"Houston County, MN",18578
"Hubbard County, MN",21332
"Isanti County, MN",39966
"Itasca County, MN",45108
"Jackson County, MN",9911
"Kanabec County, MN",16207
"Kandiyohi County, MN",42855
"Kittson County, MN",4248
"Koochiching County, MN",12440
"Lac qui Parle County, MN",6658
"Lake County, MN",10658
"Lake of the Woods County, MN",3758
"Le Sueur County, MN",28494
"Lincoln County, MN",5673
"Lyon County, MN",25629
"McLeod County, MN",35873
"Mahnomen County, MN",5519
"Marshall County, MN",9390
"Martin County, MN",19785
"Meeker County, MN",23141
"Mille Lacs County, MN",26139
"Morrison County, MN",33169
"Mower County, MN",40011
"Murray County, MN",8276
"Nicollet County, MN",34220
"Nobles County, MN",21924
"Norman County, MN",6475
"Olmsted County, MN",156277
"Otter Tail County, MN",58812
"Pennington County, MN",14178
"Pine County, MN",29483
"Pipestone County, MN",9047
"Polk County, MN",31529
"Pope County, MN",11097
"Ramsey County, MN",550210
"Red Lake County, MN",3999
"Redwood County, MN",15249
"Renville County, MN",14612
"Rice County, MN",66523
"Rock County, MN",9414
"Roseau County, MN",15150
"St. Louis County, MN",199754
"Scott County, MN",147381
"Sherburne County, MN",96036
"Sibley County, MN",15028
"Stearns County, MN",159256
"Steele County, MN",36803
"Stevens County, MN",9753
"Swift County, MN",9345
"Todd County, MN",24582
"Traverse County, MN",3308
"Wabasha County, MN",21645
"Wadena County, MN",13773
"Waseca County, MN",18691
"Washington County, MN",259201
"Watonwan County, MN",10980
"Wilkin County, MN",6254
"Winona County, MN",50825
"Wright County, MN",136349
"Yellow Medicine County, MN",9795
"Adams County, MS",31192
"Alcorn County, MS",36925
"Amite County, MS",12326
"Attala County, MS",18365
"Benton County, MS",8271
"Bolivar County, MS",31333
"Calhoun County, MS",14436
"Carroll County, MS",9911
"Chickasaw County, MS",17171
"Choctaw County, MS",8278
"Claiborne County, MS",9002
"Clarke County, MS",15604
"Clay County, MS",19386
"Coahoma County, MS",22628
"Copiah County, MS",28543
"Covington County, MS",18853
"DeSoto County, MS",182001
"Forrest County, MS",75036
"Franklin County, MS",7788
"George County, MS",24250
"Greene County, MS",13586
"Grenada County, MS",21055
"Hancock County, MS",47334
"Harrison County, MS",206650
"Hinds County, MS",237085
"Holmes County, MS",17622
"Humphreys County, MS",8257
"Issaquena County, MS",1308
"Itawamba County, MS",23517
"Jackson County, MS",143277
"Jasper County, MS",16428
"Jefferson County, MS",7106
"Jefferson Davis County, MS",11234
"Jones County, MS",68461
"Kemper County, MS",10027
"Lafayette County, MS",54793
"Lamar County, MS",62447
"Lauderdale County, MS",75317
"Lawrence County, MS",12455
"Leake County, MS",22763
"Lee County, MS",85202
"Leflore County, MS",28919
"Lincoln County, MS",34205
"Lowndes County, MS",58930
"Madison County, MS",105630
"Marion County, MS",24715
"Marshall County, MS",35451
"Monroe County, MS",35564
"Montgomery County, MS",10023
"Neshoba County, MS",29125
"Newton County, MS",21443
"Noxubee County, MS",10535
"Oktibbeha County, MS",49599
"Panola County, MS",34178
"Pearl River County, MS",55387
"Perry County, MS",11931
"Pike County, MS",39563
"Pontotoc County, MS",31833
"Prentiss County, MS",25315
"Quitman County, MS",7051
"Rankin County, MS",153902
"Scott County, MS",28287
"Sharkey County, MS",4377
"Simpson County, MS",26758
"Smith County, MS",16002
"Stone County, MS",18717
"Sunflower County, MS",25735
"Tallahatchie County, MS",13987
"Tate County, MS",28759
"Tippah County, MS",21995
"Tishomingo County, MS",19454
"Tunica County, MS",9944
"Union County, MS",28606
"Walthall County, MS",14465
"Warren County, MS",46176
"Washington County, MS",45063
"Wayne County, MS",20298
"Webster County, MS",9788
"Wilkinson County, MS",8792
"Winston County, MS",18165
"Yalobusha County, MS",12392
"Yazoo County, MS",28248
"Adair County, MO",25339
"Andrew County, MO",17607
"Atchison County, MO",5171
"Audrain County, MO",25473
"Barry County, MO",35886
"Barton County, MO",11798
"Bates County, MO",16320
"Benton County, MO",19278
"Bollinger County, MO",12169
"Boone County, MO",180005
"Buchanan County, MO",88571
"Butler County, MO",42639
"Caldwell County, MO",9108
"Callaway County, MO",44889
"Camden County, MO",45815
"Cape Girardeau County, MO",78753
"Carroll County, MO",8743
"Carter County, MO",6054
"Cass County, MO",104954
"Cedar County, MO",14165
"Chariton County, MO",7451
"Christian County, MO",86983
"Clark County, MO",6842
"Clay County, MO",246365
"Clinton County, MO",20470
"Cole County, MO",76796
"Cooper County, MO",17603
"Crawford County, MO",23957
"Dade County, MO",7569
"Dallas County, MO",16762
"Daviess County, MO",8313
"DeKalb County, MO",12630
"Dent County, MO",15441
"Douglas County, MO",13373
"Dunklin County, MO",29423
"Franklin County, MO",103670
"Gasconade County, MO",14705
"Gentry County, MO",6628
"Greene County, MO",291923
"Grundy County, MO",9914
"Harrison County, MO",8414
"Henry County, MO",21792
"Hickory County, MO",9509
"Holt County, MO",4404
"Howard County, MO",10137
"Howell County, MO",40076
"Iron County, MO",10177
"Jackson County, MO",700307
"Jasper County, MO",120636
"Jefferson County, MO",224347
"Johnson County, MO",53652
"Knox County, MO",3947
"Laclede County, MO",35713
"Lafayette County, MO",32598
"Lawrence County, MO",38359
"Lewis County, MO",9855
"Lincoln County, MO",57686
"Linn County, MO",12037
"Livingston County, MO",15146
"McDonald County, MO",23078
"Macon County, MO",15153
"Madison County, MO",12188
"Maries County, MO",8769
"Marion County, MO",28592
"Mercer County, MO",3641
"Miller County, MO",25336
"Mississippi County, MO",13336
"Moniteau County, MO",16121
"Monroe County, MO",8664
"Montgomery County, MO",11534
"Morgan County, MO",20358
"New Madrid County, MO",17296
"Newton County, MO",58266
"Nodaway County, MO",22304
"Oregon County, MO",10541
"Osage County, MO",13714
"Ozark County, MO",9017
"Pemiscot County, MO",16272
"Perry County, MO",19150
"Pettis County, MO",42542
"Phelps County, MO",44732
"Pike County, MO",18504
"Platte County, MO",102985
"Polk County, MO",32201
"Pulaski County, MO",52014
"Putnam County, MO",4757
"Ralls County, MO",10212
"Randolph County, MO",24763
"Ray County, MO",22883
"Reynolds County, MO",6254
"Ripley County, MO",13401
"St. Charles County, MO",399182
"St. Clair County, MO",9395
"Ste. Genevieve County, MO",17888
"St. Francois County, MO",66692
"St. Louis County, MO",996945
"Saline County, MO",22895
"Schuyler County, MO",4599
"Scotland County, MO",4966
"Scott County, MO",38458
"Shannon County, MO",8189
"Shelby County, MO",6050
"Stoddard County, MO",29206
"Stone County, MO",31749
"Sullivan County, MO",6221
"Taney County, MO",55852
"Texas County, MO",25571
"Vernon County, MO",20528
"Warren County, MO",34711
"Washington County, MO",24943
"Wayne County, MO",13122
"Webster County, MO",39109
"Worth County, MO",2040
"Wright County, MO",18378
"St. Louis city, MO",302838
"Beaverhead County, MT",9404
"Big Horn County, MT",13338
"Blaine County, MT",6807
"Broadwater County, MT",6085
"Carbon County, MT",10714
"Carter County, MT",1238
"Cascade County, MT",81643
"Chouteau County, MT",5745
"Custer County, MT",11586
"Daniels County, MT",1747
"Dawson County, MT",8680
"Deer Lodge County, MT",9131
"Fallon County, MT",2920
"Fergus County, MT",11113
"Flathead County, MT",102106
"Gallatin County, MT",111876
"Garfield County, MT",1268
"Glacier County, MT",13747
"Golden Valley County, MT",826
"Granite County, MT",3378
"Hill County, MT",16347
"Jefferson County, MT",12097
"Judith Basin County, MT",1952
"Lake County, MT",30250
"Lewis and Clark County, MT",68700
"Liberty County, MT",2430
"Lincoln County, MT",19794
"McCone County, MT",1675
"Madison County, MT",8768
"Meagher County, MT",1866
"Mineral County, MT",4316
"Missoula County, MT",118791
"Musselshell County, MT",4651
"Park County, MT",16736
"Petroleum County, MT",513
"Phillips County, MT",4074
"Pondera County, MT",5972
"Powder River County, MT",1716
"Powell County, MT",6968
"Prairie County, MT",1087
"Ravalli County, MT",43172
"Richland County, MT",10913
"Roosevelt County, MT",11059
"Rosebud County, MT",9063
"Sanders County, MT",11844
"Sheridan County, MT",3424
"Silver Bow County, MT",34993
"Stillwater County, MT",9534
"Sweet Grass County, MT",3710
"Teton County, MT",6162
"Toole County, MT",4853
"Treasure County, MT",679
"Valley County, MT",7437
"Wheatland County, MT",2236
"Wibaux County, MT",1034
"Yellowstone County, MT",160137
"Adams County, NE",31511
"Antelope County, NE",6336
"Arthur County, NE",465
"Banner County, NE",730
"Blaine County, NE",476
"Boone County, NE",5239
"Box Butte County, NE",10772
"Boyd County, NE",1955
"Brown County, NE",2973
"Buffalo County, NE",49615
"Burt County, NE",6488
"Butler County, NE",8058
"Cass County, NE",26159
"Cedar County, NE",8446
"Chase County, NE",3977
"Cherry County, NE",5761
"Cheyenne County, NE",9310
"Clay County, NE",6214
"Colfax County, NE",10881
"Cuming County, NE",8940
"Custer County, NE",10840
"Dakota County, NE",20083
"Dawes County, NE",8716
"Dawson County, NE",23709
"Deuel County, NE",1825
"Dixon County, NE",5709
"Dodge County, NE",36791
"Douglas County, NE",566880
"Dundy County, NE",1770
"Fillmore County, NE",5527
"Franklin County, NE",3023
"Frontier County, NE",2608
"Furnas County, NE",4715
"Gage County, NE",21493
"Garden County, NE",1897
"Garfield County, NE",1987
"Gosper County, NE",1996
"Grant County, NE",660
"Greeley County, NE",2356
"Hall County, NE",61607
"Hamilton County, NE",9280
"Harlan County, NE",3401
"Hayes County, NE",916
"Hitchcock County, NE",2806
"Holt County, NE",10178
"Hooker County, NE",682
"Howard County, NE",6468
"Jefferson County, NE",7097
"Johnson County, NE",5134
"Kearney County, NE",6544
"Keith County, NE",8021
"Keya Paha County, NE",810
"Kimball County, NE",3618
"Knox County, NE",8419
"Lancaster County, NE",317272
"Lincoln County, NE",35185
"Logan County, NE",749
"Loup County, NE",618
"McPherson County, NE",492
"Madison County, NE",35392
"Merrick County, NE",7733
"Morrill County, NE",4686
"Nance County, NE",3532
"Nemaha County, NE",6958
"Nuckolls County, NE",4195
"Otoe County, NE",15985
"Pawnee County, NE",2632
"Perkins County, NE",2929
"Phelps County, NE",8996
"Pierce County, NE",7142
"Platte County, NE",33363
"Polk County, NE",5278
"Red Willow County, NE",10726
"Richardson County, NE",7937
"Rock County, NE",1360
"Saline County, NE",14350
"Sarpy County, NE",184459
"Saunders County, NE",21303
"Scotts Bluff County, NE",35989
"Seward County, NE",17318
"Sheridan County, NE",5190
"Sherman County, NE",3038
"Sioux County, NE",1187
"Stanton County, NE",5970
"Thayer County, NE",5039
"Thomas County, NE",720
"Thurston County, NE",7303
"Valley County, NE",4190
"Washington County, NE",20667
"Wayne County, NE",9403
"Webster County, NE",3533
"Wheeler County, NE",805
"York County, NE",13772
"Churchill County, NV",24440
"Clark County, NV",2231647
"Douglas County, NV",48467
"Elko County, NV",52460
"Esmeralda County, NV",826
"Eureka County, NV",2003
"Humboldt County, NV",16786
"Lander County, NV",5575
"Lincoln County, NV",5201
"Lyon County, NV",55808
"Mineral County, NV",4514
"Nye County, NV",45346
"Pershing County, NV",6666
"Storey County, NV",4029
"Washoe County, NV",465735
"White Pine County, NV",9475
"Carson City, NV",55414
"Belknap County, NH",61022
"Carroll County, NH",48779
"Cheshire County, NH",76493
"Coos County, NH",31589
"Grafton County, NH",89786
"Hillsborough County, NH",415247
"Merrimack County, NH",151132
"Rockingham County, NH",309176
"Strafford County, NH",130090
"Sullivan County, NH",43144
"Atlantic County, NJ",265429
"Bergen County, NJ",936692
"Burlington County, NJ",445384
"Camden County, NJ",507078
"Cape May County, NJ",92560
"Cumberland County, NJ",150972
"Essex County, NJ",799767
"Gloucester County, NJ",291408
"Hudson County, NJ",676061
"Hunterdon County, NJ",124714
"Mercer County, NJ",369811
"Middlesex County, NJ",829685
"Monmouth County, NJ",621354
"Morris County, NJ",494228
"Ocean County, NJ",601651
"Passaic County, NJ",503310
"Salem County, NJ",62607
"Somerset County, NJ",331164
"Sussex County, NJ",140799
"Union County, NJ",558067
"Warren County, NJ",105779
"Bernalillo County, NM",678701
"Catron County, NM",3578
"Chaves County, NM",64689
"Cibola County, NM",26746
"Colfax County, NM",12110
"Curry County, NM",49437
"De Baca County, NM",1781
"Doña Ana County, NM",217522
"Eddy County, NM",57900
"Grant County, NM",27346
"Guadalupe County, NM",4341
"Harding County, NM",655
"Hidalgo County, NM",4240
"Lea County, NM",69611
"Lincoln County, NM",19556
"Los Alamos County, NM",19101
"Luna County, NM",23963
"McKinley County, NM",72290
"Mora County, NM",4506
"Otero County, NM",66781
"Quay County, NM",8253
"Rio Arriba County, NM",39006
"Roosevelt County, NM",18743
"Sandoval County, NM",145179
"San Juan County, NM",125043
"San Miguel County, NM",27591
"Santa Fe County, NM",150056
"Sierra County, NM",10968
"Socorro County, NM",16735
"Taos County, NM",32835
"Torrance County, NM",15591
"Union County, NM",4118
"Valencia County, NM",76456
"Albany County, NY",307117
"Allegany County, NY",46430
"Bronx County, NY",1432132
"Broome County, NY",191659
"Cattaraugus County, NY",76840
"Cayuga County, NY",77145
"Chautauqua County, NY",127939
"Chemung County, NY",84254
"Chenango County, NY",47536
"Clinton County, NY",80695
"Columbia County, NY",59916
"Cortland County, NY",47823
"Delaware County, NY",44527
"Dutchess County, NY",293718
"Erie County, NY",919719
"Essex County, NY",37300
"Franklin County, NY",50293
"Fulton County, NY",53591
"Genesee County, NY",57511
"Greene County, NY",47491
"Hamilton County, NY",4434
"Herkimer County, NY",61833
"Jefferson County, NY",111755
"Kings County, NY",2582830
"Lewis County, NY",26447
"Livingston County, NY",63227
"Madison County, NY",70795
"Monroe County, NY",742474
"Montgomery County, NY",49455
"Nassau County, NY",1358343
"New York County, NY",1628701
"Niagara County, NY",210433
"Oneida County, NY",229577
"Onondaga County, NY",461809
"Ontario County, NY",109864
"Orange County, NY",381951
"Orleans County, NY",40612
"Oswego County, NY",117898
"Otsego County, NY",59749
"Putnam County, NY",98892
"Queens County, NY",2278906
"Rensselaer County, NY",159442
"Richmond County, NY",476179
"Rockland County, NY",325695
"St. Lawrence County, NY",108047
"Saratoga County, NY",230163
"Schenectady County, NY",155350
"Schoharie County, NY",31097
"Schuyler County, NY",17912
"Seneca County, NY",34300
"Steuben County, NY",95796
"Suffolk County, NY",1481093
"Sullivan County, NY",75498
"Tioga County, NY",48560
"Tompkins County, NY",102793
"Ulster County, NY",178599
"Warren County, NY",64265
"Washington County, NY",61197
"Wayne County, NY",90064
"Westchester County, NY",967612
"Wyoming County, NY",40085
"Yates County, NY",24841
"Alamance County, NC",166436
"Alexander County, NC",37353
"Alleghany County, NC",11161
"Anson County, NC",24877
"Ashe County, NC",27109
"Avery County, NC",17505
"Beaufort County, NC",47079
"Bertie County, NC",19026
"Bladen County, NC",33190
"Brunswick County, NC",136744
"Buncombe County, NC",259103
"Burke County, NC",90382
"Cabarrus County, NC",211342
"Caldwell County, NC",82029
"Camden County, NC",10710
"Carteret County, NC",69524
"Caswell County, NC",22698
"Catawba County, NC",158652
"Chatham County, NC",73139
"Cherokee County, NC",28383
"Chowan County, NC",14029
"Clay County, NC",11139
"Cleveland County, NC",97645
"Columbus County, NC",55655
"Craven County, NC",102912
"Cumberland County, NC",332330
"Currituck County, NC",27072
"Dare County, NC",36501
"Davidson County, NC",166614
"Davie County, NC",42733
"Duplin County, NC",58856
"Durham County, NC",316739
"Edgecombe County, NC",52005
"Forsyth County, NC",379099
"Franklin County, NC",67560
"Gaston County, NC",222846
"Gates County, NC",11573
"Graham County, NC",8484
"Granville County, NC",60115
"Greene County, NC",21012
"Guilford County, NC",533670
"Halifax County, NC",50574
"Harnett County, NC",134214
"Haywood County, NC",61971
"Henderson County, NC",116748
"Hertford County, NC",23659
"Hoke County, NC",54764
"Hyde County, NC",5230
"Iredell County, NC",178435
"Jackson County, NC",43327
"Johnston County, NC",202675
"Jones County, NC",9637
"Lee County, NC",61452
"Lenoir County, NC",55976
"Lincoln County, NC",83770
"McDowell County, NC",45507
"Macon County, NC",35285
"Madison County, NC",21763
"Martin County, NC",22671
"Mecklenburg County, NC",1093901
"Mitchell County, NC",15000
"Montgomery County, NC",27271
"Moore County, NC",98682
"Nash County, NC",94016
"New Hanover County, NC",232274
"Northampton County, NC",19676
"Onslow County, NC",197683
"Orange County, NC",146027
"Pamlico County, NC",12670
"Pasquotank County, NC",39639
"Pender County, NC",62162
"Perquimans County, NC",13422
"Person County, NC",39507
"Pitt County, NC",179914
"Polk County, NC",20611
"Randolph County, NC",143351
"Richmond County, NC",44887
"Robeson County, NC",131831
"Rockingham County, NC",90690
"Rowan County, NC",141262
"Rutherford County, NC",66826
"Sampson County, NC",63626
"Scotland County, NC",34810
"Stanly County, NC",62075
"Stokes County, NC",45467
"Surry County, NC",71948
"Swain County, NC",14245
"Transylvania County, NC",34215
"Tyrrell County, NC",4131
"Union County, NC",235908
"Vance County, NC",44582
"Wake County, NC",1092305
"Warren County, NC",19807
"Washington County, NC",11859
"Watauga County, NC",55945
"Wayne County, NC",123248
"Wilkes County, NC",68557
"Wilson County, NC",81455
"Yadkin County, NC",37543
"Yancey County, NC",17903
"Adams County, ND",2294
"Barnes County, ND",10542
"Benson County, ND",6962
"Billings County, ND",919
"Bottineau County, ND",6411
"Bowman County, ND",3076
"Burke County, ND",2100
"Burleigh County, ND",95273
"Cass County, ND",181516
"Cavalier County, ND",3829
"Dickey County, ND",4903
"Divide County, ND",2283
"Dunn County, ND",4332
"Eddy County, ND",2313
"Emmons County, ND",3295
"Foster County, ND",3216
"Golden Valley County, ND",1769
"Grand Forks County, ND",70770
"Grant County, ND",2374
"Griggs County, ND",2232
"Hettinger County, ND",2514
"Kidder County, ND",2450
"LaMoure County, ND",4062
"Logan County, ND",1903
"McHenry County, ND",5816
"McIntosh County, ND",2585
"McKenzie County, ND",13632
"McLean County, ND",9541
"Mercer County, ND",8267
"Morton County, ND",31095
"Mountrail County, ND",10218
"Nelson County, ND",2869
"Oliver County, ND",1952
"Pembina County, ND",6947
"Pierce County, ND",4081
"Ramsey County, ND",11481
"Ransom County, ND",5237
"Renville County, ND",2374
"Richland County, ND",16239
"Rolette County, ND",14301
"Sargent County, ND",3870
"Sheridan County, ND",1349
"Sioux County, ND",4358
"Slope County, ND",763
"Stark County, ND",30997
"Steele County, ND",1903
"Stutsman County, ND",20917
"Towner County, ND",2192
"Traill County, ND",8037
"Walsh County, ND",10667
"Ward County, ND",67744
"Wells County, ND",3957
"Williams County, ND",35350
"Adams County, OH",27724
"Allen County, OH",102663
"Ashland County, OH",53745
"Ashtabula County, OH",97493
"Athens County, OH",65818
"Auglaize County, OH",45804
"Belmont County, OH",67505
"Brown County, OH",43602
"Butler County, OH",382378
"Carroll County, OH",27081
"Champaign County, OH",38754
"Clark County, OH",134585
"Clermont County, OH",205466
"Clinton County, OH",42057
"Columbiana County, OH",102665
"Coshocton County, OH",36629
"Crawford County, OH",41550
"Cuyahoga County, OH",1243857
"Darke County, OH",51323
"Defiance County, OH",38165
"Delaware County, OH",204826
"Erie County, OH",74615
"Fairfield County, OH",155782
"Fayette County, OH",28666
"Franklin County, OH",1310300
"Fulton County, OH",42276
"Gallia County, OH",29979
"Geauga County, OH",94031
"Greene County, OH",167995
"Guernsey County, OH",39022
"Hamilton County, OH",816684
"Hancock County, OH",75930
"Hardin County, OH",31480
"Harrison County, OH",15174
"Henry County, OH",27086
"Highland County, OH",43058
"Hocking County, OH",28385
"Holmes County, OH",43892
"Huron County, OH",58504
"Jackson County, OH",32384
"Jefferson County, OH",65767
"Knox County, OH",61893
"Lake County, OH",230514
"Lawrence County, OH",59866
"Licking County, OH",175769
"Logan County, OH",45358
"Lorain County, OH",309461
"Lucas County, OH",429899
"Madison County, OH",44413
"Mahoning County, OH",229642
"Marion County, OH",65256
"Medina County, OH",179146
"Meigs County, OH",23106
"Mercer County, OH",40959
"Miami County, OH",106222
"Monroe County, OH",13790
"Montgomery County, OH",532331
"Morgan County, OH",14604
"Morrow County, OH",35112
"Muskingum County, OH",86183
"Noble County, OH",14354
"Ottawa County, OH",40769
"Paulding County, OH",18760
"Perry County, OH",36033
"Pickaway County, OH",58086
"Pike County, OH",28067
"Portage County, OH",162927
"Preble County, OH",40997
"Putnam County, OH",33780
"Richland County, OH",121099
